"","ArticleNo","Project.Start.Date","Participation.pretty","Biodiversity.Conservation","Watershed.Services","Landscape.Beauty","Carbon.Sequestration","Agro-Forestry","Area.Based.(land/resource.cap.by.land.unit)","Public.(state.payed)","Private.(Buyers.pay.directly)","Use-restricting.(reward.conservation.and.capping)","Asset-building.(restoration)","Cash","Land.rights","Infrastructure.(health.and.education.services)","Individual","Communal","Intrinsic","Extrinsic","Crowding.in","Crowding.out","Success.of.Project.(Attitude.or.outcome.based)","Enviro.Success","enviro.suc.lvl","Economic.Success","econ.suc.lvl","Social.Success","soc.suc.lvl"
"2","26","2005","5","","1","","","","","","","1","1","1","","","","","","","1","","Attitude","1","low","0","none","1","low"
"5","72","1997","4","","","","1","1","","","","","","1","","","1","","1","","1","0","Attitude","1","low","","","1","high"
"6","45","2001","4","1","","","","","","1","","","","","","","1","1","","1","0","1","Outcome","1","med","1","low","1","low"
"8","102","1991","4","1","","1","","","1","1","","1","","1","","","1","","","1","","1","Attitude","1","low","1","med","",""
"10","98","2009","1","1","1","1","","","","","1","","","1","","","1","","","1","","1","Outcome","1","med","0","none","0","none"
"11","4","2007","4","","1","","","","1","","","","","1","","","1","","","1","","0","Outcome","1","med","1","high","",""
"12","86","2015","5","","","","1","","","","","1","","1","","1","1","1","1","","1","1","Attitude/Outcome","1","low","","","1","high"
"16","76","2009","2","1","","","","","1","1","","1","","1","","","1","","1","","0","0","Outcome","1","med","1","low","",""
"17","78","1998","2","","1","","","","1","","","","1","1","","","","","","1","","","Outcome","1","low","","","1","low"
"20","61","2003","6","1","","","","","","1","","1","","1","","","1","","1","","","","","1","med","1","med","",""
"21","105","2003","5","","","","1","1","1","","","","1","1","","","1","1","1","","1","0","Attitude","1","low","1","med","1","high"
"23","35","2010","5","1","","","","1","1","","","","","1","","1","","1","1","","1","0","Outcome","1","med","1","med","1","low"
"24","37","2003","4","1","","","","","","","","1","","1","","","","","","1","0","0","Outcome","1","med","1","high","1","med"
"25","32","2010","5","1","1","","","","","","","","1","","","","1","","","1","1","","attitude","1","low","","","1","low"
"26","12","2003","4","1","1","","","","","","","","","1","","1","","1","","","1","","attitude","1","low","","","1","med"
